test_id,escenario,layout_id,intento,instruccion,starBlackPos,starOrangePos,cubeBlackPos,cubeOrangePos,foto_objeto,foto_pos,objeto_ocluido,setup_validado,objeto_visible_inicio,oclusion_verificada,estrella_negra_agarre,estrella_negra_destino,estrella_naranja_agarre,estrella_naranja_destino,cubo_negro_agarre,cubo_negro_destino,cubo_naranja_agarre,cubo_naranja_destino,finalizacion_limpia,recuerda_objeto_ocluido,completa_objeto_ocluido,selecciona_real_antes_foto,evita_intento_agarre_foto,intentos_agarre_foto,timeout,intervencion_emergencia,modo_fallo,objeto_fallo,fase_fallo,notas_ejecucion,puntuacion_destreza,max_destreza,puntuacion_memoria,max_memoria,puntuacion_3d,max_3d,puntuacion_total,puntuacion_max,puntuacion_normalizada,registro_valido,exito_completo
C-01,combinado_sin_foto,combinado_sin_foto,1,Put the stars in the bin and the cubes on the marked area.,B2,A2,A3,B3,,,cubo_naranja,1,1,1,1,1,1,1,0,0,0,0,0,1,0,,,,1,0,agarre_fallido_alucinacion,cubo_negro;cubo_naranja,agarre,"BS del tiron, bien. OS falla un poco, termina bien. Va a por los cubos y falla, alucina objetos invisibles. Va varias veces a por OC y falla repetidamente. Termina sin ningun cubo (pero intentandolo).",4,9,1,2,0,0,5,11,0.45454545454545453,1,0
C-02,combinado_sin_foto,combinado_sin_foto,2,Put the stars in the bin and the cubes on the marked area.,B2,A2,A3,B3,,,cubo_naranja,1,1,1,1,1,1,1,0,0,1,1,0,1,1,,,,1,0,alucinacion_abandono,cubo_negro,agarre,"BS y OS bien a la primera, en un solo intento. Se gira a los cubos y falla, alucina un rato. Finalmente agarra y deja bien OC. Intenta BC y falla, alucina buscando objetos inexistentes, termina sin siquiera intentar de nuevo BC.",6,9,2,2,0,0,8,11,0.7272727272727273,1,0
C-03,combinado_sin_foto,combinado_sin_foto,3,Put the stars in the bin and the cubes on the marked area.,B2,A2,A3,B3,,,cubo_naranja,1,1,1,1,1,0,0,0,0,0,0,0,0,0,,,,1,0,agarre_fallido,estrella_naranja,agarre,"BS bien a la primera. OS falla varias veces, la mueve repetidamente sin cogerla bien. Alucina y termina solo con BS.",2,9,0,2,0,0,2,11,0.18181818181818182,1,0
C-04,combinado_sin_foto,combinado_sin_foto,4,Put the stars in the bin and the cubes on the marked area.,B2,A2,A3,B3,,,cubo_naranja,1,1,1,1,1,1,1,0,0,1,1,0,1,1,,,,1,0,alucinacion,cubo_negro,agarre,"BS y OS perfectas, OC tambien perfecto sin fallos. Va a por BC, falla, alucina mirando alrededor, intenta coger un objeto invisible en C3. Termina sin coger BC.",6,9,2,2,0,0,8,11,0.7272727272727273,1,0
C-05,combinado_sin_foto,combinado_sin_foto,5,Put the stars in the bin and the cubes on the marked area.,B2,A2,A3,B3,,,cubo_naranja,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,0,0,,,,"BS a la primera tras un fallo inicial, perfecto. OS falla un poco, la mueve, termina cogiendola bien. OC a la primera perfecto. BC a la primera, termina perfecto. Episodio completo.",9,9,2,2,0,0,11,11,1.0,1,1
C-06,combinado_sin_foto,combinado_sin_foto,6,Put the stars in the bin and the cubes on the marked area.,B2,A2,A3,B3,,,cubo_naranja,1,1,1,1,1,1,1,0,0,0,0,0,1,0,,,,1,0,agarre_fallido_alucinacion,cubo_naranja;cubo_negro,agarre,"BS falla la primera vez, a la segunda perfecto. OS falla un poco, la mueve bastante, termina bien. Va a por OC y falla. Alucina bastante con un objeto en medio y junto al cubilete. Termina sin ningun cubo.",4,9,1,2,0,0,5,11,0.45454545454545453,1,0
C-07,combinado_con_foto,combinado_con_foto,7,Put the stars in the bin and the cubes on the marked area.,B2,A2,A3,B3,cubo_naranja,C1,cubo_naranja,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,alucinacion_objeto_inexistente,estrella_naranja;cubo_naranja(no_intentado),agarre,"Va a la foto (solo aproximacion, sin intento de agarre claro) y luego a BS, coge y deja bien. OS falla bastante, la mueve a posicion suboptima, nunca queda bien colocada. Va a por un objeto invisible, alucina bastante, se queda agarrando la nada hasta el final.",2,9,0,2,1,2,3,13,0.23076923076923078,1,0
C-08,combinado_con_foto,combinado_con_foto,8,Put the stars in the bin and the cubes on the marked area.,B2,A2,A3,B3,cubo_naranja,C1,cubo_naranja,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,fijacion_en_foto_alucinacion,estrella_naranja,agarre,Va a la foto un par de veces (solo aproximaciones) y alucina bastante; cercania de la foto a la estrella le hace alucinar un objeto en medio. Finalmente coge y deja bien BS. OS falla repetidamente pese a varios reintentos. Termina solo con BS.,2,9,0,2,1,2,3,13,0.23076923076923078,1,0
C-09,combinado_con_foto,combinado_con_foto,9,Put the stars in the bin and the cubes on the marked area.,B2,A2,A3,B3,cubo_naranja,C1,cubo_naranja,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,agarre_inestable_alucinacion,estrella_naranja,agarre,"Va a la foto (solo aproximacion). BS falla, alucina, termina cogiendola bien y dejandola en el cubilete. OS falla bastante, la coge pero se le escapa, reintenta varias veces sin exito (evaluador: 'no esta claro si falla o esta alucinando el modelo'). Alucina un objeto invisible en B2, suelta OS de nuevo. Termina solo con BS bien.",2,9,0,2,1,2,3,13,0.23076923076923078,1,0
C-10,combinado_con_foto,combinado_con_foto,10,Put the stars in the bin and the cubes on the marked area.,B2,A2,A3,B3,cubo_naranja,C1,cubo_naranja,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,fijacion_en_foto,foto,agarre,"Va a la foto y alucina cogiendola (intento de agarre claro), va a una estrella, vuelve a alucinar yendo hacia la foto y falla (segundo intento). OS falla al cogerla, alucina. BS: falla varias veces alucinando que la ha cogido, finalmente la coge y la deja bien. Alucina un objeto invisible. Termina solo con BS.",2,9,0,2,0,2,2,13,0.15384615384615385,1,0
